1092791497: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00022425789586476115], ['152117115 ADVANCED PROGRAMMING', -0.0003255610611753065], ['152118514 AĞ GÜVENLİĞİ', -0.0007735328213078517], ['152118035 NETWORK APPLICATIONS UE', -0.000971634144936315], ['152117111 MOBİL PROGRAMLAMA', -0.0012933236216764888]]
2182634830: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00025963821493037105], ['152118513 SİSTEM PROGRAMLAMA', -0.0005292828970903421], ['152118035 NETWORK APPLICATIONS UE', -0.0007983198116166441], ['152118514 AĞ GÜVENLİĞİ', -0.0010229167591379977], ['152117111 MOBİL PROGRAMLAMA', -0.0012986388195878867]]
689502151: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0005100494320009599], ['152118513 SİSTEM PROGRAMLAMA', -0.0007624404874274738], ['152118035 NETWORK APPLICATIONS UE', -0.0008619303262882768], ['152118514 AĞ GÜVENLİĞİ', -0.001027283099526772], ['152117111 MOBİL PROGRAMLAMA', -0.0012886580215758256]]
1524214498: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0001891057383412879], ['152118035 NETWORK APPLICATIONS UE', -0.0005982950372142785], ['152118514 AĞ GÜVENLİĞİ', -0.000766850880887605], ['152118513 SİSTEM PROGRAMLAMA', -0.0009317026935189713], ['152117111 MOBİL PROGRAMLAMA', -0.001165775891621967]]
834991379: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00038739195884894106], ['152118035 NETWORK APPLICATIONS UE', -0.0010760072820369545], ['152118513 SİSTEM PROGRAMLAMA', -0.0012452677673796032], ['152118514 AĞ GÜVENLİĞİ', -0.0013395296818242617], ['152117111 MOBİL PROGRAMLAMA', -0.0016651060368466021]]
1953289294: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0006925514554538433], ['152118514 AĞ GÜVENLİĞİ', -0.0011596084178281058], ['152118513 SİSTEM PROGRAMLAMA', -0.0012033617538626488], ['152118035 NETWORK APPLICATIONS UE', -0.0012339006855151323], ['152117111 MOBİL PROGRAMLAMA', -0.0014267530053943362]]
4157077354: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -1.1415183609737875e-06], ['152118513 SİSTEM PROGRAMLAMA', -0.00018723628391312114], ['152118514 AĞ GÜVENLİĞİ', -0.0003784675733119554], ['152117111 MOBİL PROGRAMLAMA', -0.0006559317954162568], ['152118035 NETWORK APPLICATIONS UE', -0.000713297388148697]]
316669719: [['152117115 ADVANCED PROGRAMMING', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00021844233123197466], ['152118514 AĞ GÜVENLİĞİ', -0.00025287305505271464], ['152117111 MOBİL PROGRAMLAMA', -0.00029400638017852075], ['152118035 NETWORK APPLICATIONS UE', -0.0006004701718205005]]
4246813520: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00022425789586476115], ['152117115 ADVANCED PROGRAMMING', -0.0003265598897411586], ['152118514 AĞ GÜVENLİĞİ', -0.0008360805799193688], ['152118035 NETWORK APPLICATIONS UE', -0.001070701530350835], ['152117111 MOBİL PROGRAMLAMA', -0.001438037490539189]]
1235998950: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00018723628391312114], ['152117115 ADVANCED PROGRAMMING', -0.00021112066969736307], ['152118514 AĞ GÜVENLİĞİ', -0.0008264502204428965], ['152118035 NETWORK APPLICATIONS UE', -0.0012227086303210175], ['152117111 MOBİL PROGRAMLAMA', -0.0013157871159949941]]
