880213215: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00042348613459522634], ['152118513 SİSTEM PROGRAMLAMA', -0.0005301496541382452], ['152118514 AĞ GÜVENLİĞİ', -0.0009477129369020868], ['152118035 NETWORK APPLICATIONS UE', -0.0017311594696555674], ['152117111 MOBİL PROGRAMLAMA', -0.002408924017088336]]
2773579581: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0003279938446103117], ['152118513 SİSTEM PROGRAMLAMA', -0.0003725914720190376], ['152118514 AĞ GÜVENLİĞİ', -0.0008677746624077178], ['152118035 NETWORK APPLICATIONS UE', -0.0016842351832028195], ['152117111 MOBİL PROGRAMLAMA', -0.0022914944429487482]]
2662800065: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00023797564814926893], ['152118513 SİSTEM PROGRAMLAMA', -0.000412388480600584], ['152118514 AĞ GÜVENLİĞİ', -0.0007433707741643697], ['152118035 NETWORK APPLICATIONS UE', -0.0017122418258067231], ['152117111 MOBİL PROGRAMLAMA', -0.0022277566274278284]]
680294614: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0002537642909600123], ['152118513 SİSTEM PROGRAMLAMA', -0.00031718705982056774], ['152118514 AĞ GÜVENLİĞİ', -0.0009184477913606005], ['152118035 NETWORK APPLICATIONS UE', -0.0016884498998348198], ['152117111 MOBİL PROGRAMLAMA', -0.0022514908511755984]]
1454810307: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00042348613459522634], ['152118513 SİSTEM PROGRAMLAMA', -0.0005301496541382452], ['152118514 AĞ GÜVENLİĞİ', -0.0009477129369020868], ['152118035 NETWORK APPLICATIONS UE', -0.0017311594696555674], ['152117111 MOBİL PROGRAMLAMA', -0.002408924017088336]]
3460213741: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00018974784440939393], ['152118513 SİSTEM PROGRAMLAMA', -0.00038929762632357827], ['152118514 AĞ GÜVENLİĞİ', -0.0006357652898267149], ['152117111 MOBİL PROGRAMLAMA', -0.0012766687005226996], ['152118035 NETWORK APPLICATIONS UE', -0.0015077325647406775]]
3101767336: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00029811103912950133], ['152118513 SİSTEM PROGRAMLAMA', -0.0005385680744589211], ['152118514 AĞ GÜVENLİĞİ', -0.0006014925030445086], ['152118035 NETWORK APPLICATIONS UE', -0.001501512686375079], ['152117111 MOBİL PROGRAMLAMA', -0.0017062698449508051]]
234653585: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00043393464896187623], ['152118513 SİSTEM PROGRAMLAMA', -0.0005740841850364973], ['152118514 AĞ GÜVENLİĞİ', -0.0007942265216748853], ['152118035 NETWORK APPLICATIONS UE', -0.001651562473782552], ['152117111 MOBİL PROGRAMLAMA', -0.0023688931588316748]]
779454362: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0005773771916210362], ['152118514 AĞ GÜVENLİĞİ', -0.0009643111314855907], ['152118513 SİSTEM PROGRAMLAMA', -0.0014501809457805306], ['152118035 NETWORK APPLICATIONS UE', -0.0015118014671572405], ['152117111 MOBİL PROGRAMLAMA', -0.001995335456564324]]
1303790514: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00026432254985047314], ['152117115 ADVANCED PROGRAMMING', -0.00030099915629600764], ['152118514 AĞ GÜVENLİĞİ', -0.0008178608758872677], ['152118035 NETWORK APPLICATIONS UE', -0.0016644214387055015], ['152117111 MOBİL PROGRAMLAMA', -0.0023853420491258197]]
