
p:3.5  t:0: 3965835222: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0007415026595584685], ['152118513 SİSTEM PROGRAMLAMA', -0.0013328579139117126], ['152118514 AĞ GÜVENLİĞİ', -0.0014081634944112815], ['152118035 NETWORK APPLICATIONS UE', -0.001592864929879106], ['152117111 MOBİL PROGRAMLAMA', -0.0019083681028512934]]
p:3.0  t:0: 3965835222: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0007169093543963287], ['152118514 AĞ GÜVENLİĞİ', -0.001129248165331252], ['152118513 SİSTEM PROGRAMLAMA', -0.001414165886003473], ['152118035 NETWORK APPLICATIONS UE', -0.0017878790916211742], ['152117111 MOBİL PROGRAMLAMA', -0.0023010768596393714]]
p:3.5  t:1: 3965835222: [['152117111 MOBİL PROGRAMLAMA', 0.005113022351189506], ['152118635 WEB BASED TECHNOLOGIES', 0.00494057347100686], ['152118035 NETWORK APPLICATIONS UE', 0.0034957421712555298], ['152118634 COMPUTER SECURITY', 0.003467160768336293], ['152118513 SİSTEM PROGRAMLAMA', 0.002579926382062682], ['152118514 AĞ GÜVENLİĞİ', 0.0024786586132533378], ['152117115 ADVANCED PROGRAMMING', 0.0013591524226114775]]
p:3.0  t:1: 3965835222: [['152118634 COMPUTER SECURITY', 0.008850310642955649], ['152118635 WEB BASED TECHNOLOGIES', 0.007614690674191655], ['152117111 MOBİL PROGRAMLAMA', 0.0072000407759756], ['152118514 AĞ GÜVENLİĞİ', 0.005206657843847134], ['152118035 NETWORK APPLICATIONS UE', 0.0046460957262906884], ['152118513 SİSTEM PROGRAMLAMA', 0.00282819503971595], ['152117115 ADVANCED PROGRAMMING', 0.0021340936572173067]]

p:3.5  t:0: 62989449: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00010187529121509876], ['152118513 SİSTEM PROGRAMLAMA', -0.00017898533917497936], ['152118035 NETWORK APPLICATIONS UE', -0.0006036452384838058], ['152118514 AĞ GÜVENLİĞİ', -0.0008587747672832716], ['152117111 MOBİL PROGRAMLAMA', -0.0011160345126221567]]
p:3.0  t:0: 62989449: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0001075741807830201], ['152118513 SİSTEM PROGRAMLAMA', -0.00040366884957598816], ['152118514 AĞ GÜVENLİĞİ', -0.0007206828799715877], ['152118035 NETWORK APPLICATIONS UE', -0.001133000158461981], ['152117111 MOBİL PROGRAMLAMA', -0.0015220465836527331]]
p:3.5  t:1: 62989449: [['152117111 MOBİL PROGRAMLAMA', 0.0035491802665288327], ['152118035 NETWORK APPLICATIONS UE', 0.0022801648861074087], ['152118514 AĞ GÜVENLİĞİ', 0.0018577652104388581], ['152118634 COMPUTER SECURITY', 0.0011685122712959625], ['152118635 WEB BASED TECHNOLOGIES', 0.0009114853193004026], ['152118513 SİSTEM PROGRAMLAMA', 0.000738607434799037], ['152117115 ADVANCED PROGRAMMING', 0.0001515068565697156]]
p:3.0  t:1: 62989449: [['152117111 MOBİL PROGRAMLAMA', 0.0047738954784893], ['152118514 AĞ GÜVENLİĞİ', 0.003540083115055661], ['152118035 NETWORK APPLICATIONS UE', 0.0023936150949067625], ['152118634 COMPUTER SECURITY', 0.002008928680447804], ['152118635 WEB BASED TECHNOLOGIES', 0.0014662672050912444], ['152117115 ADVANCED PROGRAMMING', 0.0004570817140099699], ['152118513 SİSTEM PROGRAMLAMA', 0.00035519613690146966]]

p:3.5  t:0: 3628156599: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.000309967732211082], ['152118514 AĞ GÜVENLİĞİ', -0.0007215076843170475], ['152118513 SİSTEM PROGRAMLAMA', -0.0007571626474179605], ['152118035 NETWORK APPLICATIONS UE', -0.0007892814053677081], ['152117111 MOBİL PROGRAMLAMA', -0.0009850162212402948]]
p:3.0  t:0: 3628156599: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0005029300402925165], ['152118514 AĞ GÜVENLİĞİ', -0.0010544654219625097], ['152118513 SİSTEM PROGRAMLAMA', -0.001114414665698225], ['152118035 NETWORK APPLICATIONS UE', -0.0014482480835772368], ['152117111 MOBİL PROGRAMLAMA', -0.0017822361277075236]]
p:3.5  t:1: 3628156599: [['152117111 MOBİL PROGRAMLAMA', 0.0036461643105080987], ['152118035 NETWORK APPLICATIONS UE', 0.0034606240417067655], ['152118514 AĞ GÜVENLİĞİ', 0.0028060758232918218], ['152118635 WEB BASED TECHNOLOGIES', 0.002255643827065358], ['152118513 SİSTEM PROGRAMLAMA', 0.002079696568665328], ['152118634 COMPUTER SECURITY', 0.0011996642914187485], ['152117115 ADVANCED PROGRAMMING', 0.0009482250958460963]]
p:3.0  t:1: 3628156599: [['152118514 AĞ GÜVENLİĞİ', 0.005218438189389119], ['152117111 MOBİL PROGRAMLAMA', 0.005128300769091866], ['152118035 NETWORK APPLICATIONS UE', 0.004925882549652238], ['152118635 WEB BASED TECHNOLOGIES', 0.00362801176787239], ['152118513 SİSTEM PROGRAMLAMA', 0.002590568930821452], ['152118634 COMPUTER SECURITY', 0.0023881234486853335], ['152117115 ADVANCED PROGRAMMING', 0.001345993775243572]]

p:3.5  t:0: 1938646605: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0001238484751634818], ['152118514 AĞ GÜVENLİĞİ', -0.0007487901427842581], ['152118035 NETWORK APPLICATIONS UE', -0.0009961723991344872], ['152117111 MOBİL PROGRAMLAMA', -0.0014052237134521011]]
p:3.0  t:0: 1938646605: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0002782516230355581], ['152118513 SİSTEM PROGRAMLAMA', -0.00031718705982056774], ['152118514 AĞ GÜVENLİĞİ', -0.0008226756318148555], ['152118035 NETWORK APPLICATIONS UE', -0.0016439749593763046], ['152117111 MOBİL PROGRAMLAMA', -0.0024033431640688874]]
p:3.5  t:1: 1938646605: [['152117111 MOBİL PROGRAMLAMA', 0.004496902064160377], ['152118035 NETWORK APPLICATIONS UE', 0.004055825298936477], ['152118514 AĞ GÜVENLİĞİ', 0.002087861479676305], ['152118634 COMPUTER SECURITY', 0.001438001025041487], ['152118635 WEB BASED TECHNOLOGIES', 0.0011390928451040785], ['152118513 SİSTEM PROGRAMLAMA', 0.0005702868932609726], ['152117115 ADVANCED PROGRAMMING', 0.00039823384648811035]]
p:3.0  t:1: 1938646605: [['152117111 MOBİL PROGRAMLAMA', 0.006401149303428255], ['152118035 NETWORK APPLICATIONS UE', 0.005082373997167853], ['152118514 AĞ GÜVENLİĞİ', 0.004311625283832396], ['152118634 COMPUTER SECURITY', 0.00337907171511369], ['152118635 WEB BASED TECHNOLOGIES', 0.0016462851432543502], ['152117115 ADVANCED PROGRAMMING', 0.0005538695652063858], ['152118513 SİSTEM PROGRAMLAMA', 0.0]]

p:3.5  t:0: 3999567632: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00021112066969736307], ['152118514 AĞ GÜVENLİĞİ', -0.000730763644008132], ['152118035 NETWORK APPLICATIONS UE', -0.0009753231462129273], ['152117111 MOBİL PROGRAMLAMA', -0.0013157871159949941]]
p:3.0  t:0: 3999567632: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00042348613459522634], ['152118513 SİSTEM PROGRAMLAMA', -0.0005301496541382452], ['152118514 AĞ GÜVENLİĞİ', -0.0009477129369020868], ['152118035 NETWORK APPLICATIONS UE', -0.0017311594696555674], ['152117111 MOBİL PROGRAMLAMA', -0.002408924017088336]]
p:3.5  t:1: 3999567632: [['152117111 MOBİL PROGRAMLAMA', 0.004636489949235879], ['152118035 NETWORK APPLICATIONS UE', 0.004138952283011298], ['152118514 AĞ GÜVENLİĞİ', 0.002398144113351825], ['152118634 COMPUTER SECURITY', 0.0018651884746349562], ['152118635 WEB BASED TECHNOLOGIES', 0.0017190936476301735], ['152118513 SİSTEM PROGRAMLAMA', 0.0009591112508976542], ['152117115 ADVANCED PROGRAMMING', 0.000635751603573106]]
p:3.0  t:1: 3999567632: [['152117111 MOBİL PROGRAMLAMA', 0.006537591632111263], ['152118035 NETWORK APPLICATIONS UE', 0.0052172581230796695], ['152118514 AĞ GÜVENLİĞİ', 0.004736702813403451], ['152118634 COMPUTER SECURITY', 0.003194721578818507], ['152118635 WEB BASED TECHNOLOGIES', 0.002448214913752209], ['152117115 ADVANCED PROGRAMMING', 0.0010717122172361543], ['152118513 SİSTEM PROGRAMLAMA', 0.0006932672589927193]]

p:3.5  t:0: 2484291189: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0005507221516978774], ['152118513 SİSTEM PROGRAMLAMA', -0.0009791038579978876], ['152118514 AĞ GÜVENLİĞİ', -0.0010198619773512249], ['152118035 NETWORK APPLICATIONS UE', -0.001251897283212271], ['152117111 MOBİL PROGRAMLAMA', -0.0013972090851608432]]
p:3.0  t:0: 2484291189: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0005695010617133173], ['152118514 AĞ GÜVENLİĞİ', -0.0010474519372534628], ['152118513 SİSTEM PROGRAMLAMA', -0.0012009008136537331], ['152118035 NETWORK APPLICATIONS UE', -0.0016479849657091443], ['152117111 MOBİL PROGRAMLAMA', -0.0019782048703034408]]
p:3.5  t:1: 2484291189: [['152117111 MOBİL PROGRAMLAMA', 0.00455795506913931], ['152118035 NETWORK APPLICATIONS UE', 0.003553157620430382], ['152118635 WEB BASED TECHNOLOGIES', 0.0030464267061868257], ['152118514 AĞ GÜVENLİĞİ', 0.0024763152546260084], ['152118513 SİSTEM PROGRAMLAMA', 0.0022328552950897787], ['152118634 COMPUTER SECURITY', 0.0020934474495481817], ['152117115 ADVANCED PROGRAMMING', 0.00110588155910314]]
p:3.0  t:1: 2484291189: [['152117111 MOBİL PROGRAMLAMA', 0.006236968468569477], ['152118514 AĞ GÜVENLİĞİ', 0.005076971077085037], ['152118035 NETWORK APPLICATIONS UE', 0.004825165333948612], ['152118635 WEB BASED TECHNOLOGIES', 0.0046944464208751825], ['152118634 COMPUTER SECURITY', 0.0041264259132393274], ['152118513 SİSTEM PROGRAMLAMA', 0.0027446859360455112], ['152117115 ADVANCED PROGRAMMING', 0.0018341529720072663]]

p:3.5  t:0: 3286966388: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -7.990628526816513e-07], ['152118513 SİSTEM PROGRAMLAMA', -0.0001310653987391848], ['152118514 AĞ GÜVENLİĞİ', -0.0003496705308456624], ['152117111 MOBİL PROGRAMLAMA', -0.0006355560848984922], ['152118035 NETWORK APPLICATIONS UE', -0.0006864204359207251]]
p:3.0  t:0: 3286966388: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0002976552054484607], ['152118513 SİSTEM PROGRAMLAMA', -0.00044224680100615857], ['152118514 AĞ GÜVENLİĞİ', -0.0006433103813886307], ['152118035 NETWORK APPLICATIONS UE', -0.0014157796393417272], ['152117111 MOBİL PROGRAMLAMA', -0.0015718477402252152]]
p:3.5  t:1: 3286966388: [['152118035 NETWORK APPLICATIONS UE', 0.0036076948104399264], ['152117111 MOBİL PROGRAMLAMA', 0.0029331467206052107], ['152118514 AĞ GÜVENLİĞİ', 0.001768798061334435], ['152118634 COMPUTER SECURITY', 0.0010000249050855818], ['152118513 SİSTEM PROGRAMLAMA', 0.0008478605693351281], ['152118635 WEB BASED TECHNOLOGIES', 0.0005695464225520392], ['152117115 ADVANCED PROGRAMMING', 0.0005100807434578397]]
