2582135915: [['SİSTEM PROGRAMLAMA', 0.05597779080482452], ['WEB BASED TECHNOLOGIES', 0.03208368603236923], ['IMAGE PROCESSING', 0.029358749757695073], ['MOBİL PROGRAMLAMA', 0.027652917750898474], ['COMPUTER SECURITY', 0.02568452306627025], ['AĞ GÜVENLİĞİ', 0.022781814398691806], ['NETWORK APPLICATIONS', 0.021280172178987308], ['ADVANCED PROGRAMMING', 0.013717374697738842]]
571328139: [['SİSTEM PROGRAMLAMA', 0.06733584696386373], ['COMPUTER SECURITY', 0.0366583317097067], ['IMAGE PROCESSING', 0.030424931644377318], ['MOBİL PROGRAMLAMA', 0.02935713122669748], ['AĞ GÜVENLİĞİ', 0.0280066109933279], ['NETWORK APPLICATIONS', 0.021559212544048252], ['WEB BASED TECHNOLOGIES', 0.018838081177905523], ['ADVANCED PROGRAMMING', 0.007210075958150596]]
835709445: [['SİSTEM PROGRAMLAMA', 0.043846208488456405], ['WEB BASED TECHNOLOGIES', 0.03558570287401982], ['COMPUTER SECURITY', 0.029870996279313562], ['MOBİL PROGRAMLAMA', 0.02833129194084398], ['IMAGE PROCESSING', 0.027925077352145184], ['AĞ GÜVENLİĞİ', 0.022173369042066616], ['NETWORK APPLICATIONS', 0.021599936518227298], ['ADVANCED PROGRAMMING', 0.015612854698404257]]
2167706237: [['SİSTEM PROGRAMLAMA', 0.054558738044110225], ['IMAGE PROCESSING', 0.02746800773278251], ['MOBİL PROGRAMLAMA', 0.026260245374651332], ['COMPUTER SECURITY', 0.025522161345676357], ['AĞ GÜVENLİĞİ', 0.022115110199683655], ['NETWORK APPLICATIONS', 0.021303214665717277], ['WEB BASED TECHNOLOGIES', 0.020296184229604438], ['ADVANCED PROGRAMMING', 0.010827793630307305]]
2837036363: [['SİSTEM PROGRAMLAMA', 0.06499201480348077], ['WEB BASED TECHNOLOGIES', 0.03551296549900095], ['COMPUTER SECURITY', 0.03417533183541635], ['MOBİL PROGRAMLAMA', 0.03161223413408978], ['IMAGE PROCESSING', 0.025252957042296957], ['AĞ GÜVENLİĞİ', 0.02470345386069251], ['NETWORK APPLICATIONS', 0.020961070641399644], ['ADVANCED PROGRAMMING', 0.013570566158209101]]
1005201823: [['SİSTEM PROGRAMLAMA', 0.0654990501993987], ['WEB BASED TECHNOLOGIES', 0.035989200691472746], ['COMPUTER SECURITY', 0.03575624621236067], ['MOBİL PROGRAMLAMA', 0.03160618223572149], ['AĞ GÜVENLİĞİ', 0.025588266524699865], ['IMAGE PROCESSING', 0.024681069279351608], ['NETWORK APPLICATIONS', 0.02135555836036439], ['ADVANCED PROGRAMMING', 0.01345779485944967]]
3420596100: [['SİSTEM PROGRAMLAMA', 0.05013707661739833], ['WEB BASED TECHNOLOGIES', 0.035979428129195246], ['COMPUTER SECURITY', 0.03363567017590653], ['MOBİL PROGRAMLAMA', 0.03157103025382622], ['IMAGE PROCESSING', 0.028423627789448853], ['AĞ GÜVENLİĞİ', 0.024379403644812562], ['NETWORK APPLICATIONS', 0.021176841388664158], ['ADVANCED PROGRAMMING', 0.01532980674792709]]
862489397: [['SİSTEM PROGRAMLAMA', 0.03659788981356523], ['COMPUTER SECURITY', 0.029437512226520454], ['WEB BASED TECHNOLOGIES', 0.02817359773932956], ['MOBİL PROGRAMLAMA', 0.027311288612890897], ['IMAGE PROCESSING', 0.023437044716702837], ['AĞ GÜVENLİĞİ', 0.021165974720531788], ['NETWORK APPLICATIONS', 0.01913317528203777], ['ADVANCED PROGRAMMING', 0.01329068020009656]]
2999644417: [['SİSTEM PROGRAMLAMA', 0.06107587997123992], ['COMPUTER SECURITY', 0.03125903497413669], ['MOBİL PROGRAMLAMA', 0.030785481924856074], ['WEB BASED TECHNOLOGIES', 0.029238255055497524], ['AĞ GÜVENLİĞİ', 0.023916250398843472], ['IMAGE PROCESSING', 0.02273093819729452], ['NETWORK APPLICATIONS', 0.020674236586973302], ['ADVANCED PROGRAMMING', 0.008472419216953775]]
517073078: [['SİSTEM PROGRAMLAMA', 0.051370936444349945], ['WEB BASED TECHNOLOGIES', 0.03539909036835601], ['COMPUTER SECURITY', 0.03356804616864461], ['MOBİL PROGRAMLAMA', 0.03154992332820426], ['IMAGE PROCESSING', 0.02848479343427223], ['AĞ GÜVENLİĞİ', 0.02629302148175102], ['NETWORK APPLICATIONS', 0.02178670476981075], ['ADVANCED PROGRAMMING', 0.01491735058715866]]
1746090408: [['SİSTEM PROGRAMLAMA', 0.05965048422325903], ['MOBİL PROGRAMLAMA', 0.0301027890650937], ['COMPUTER SECURITY', 0.02983737641718393], ['WEB BASED TECHNOLOGIES', 0.02934599900869309], ['IMAGE PROCESSING', 0.028533018218227544], ['AĞ GÜVENLİĞİ', 0.02736567967523618], ['NETWORK APPLICATIONS', 0.021450260948822436], ['ADVANCED PROGRAMMING', 0.012496245709441885]]
1639252076: [['SİSTEM PROGRAMLAMA', 0.046152545689576226], ['IMAGE PROCESSING', 0.026319625913091668], ['MOBİL PROGRAMLAMA', 0.026140014204648763], ['WEB BASED TECHNOLOGIES', 0.022668284629321675], ['AĞ GÜVENLİĞİ', 0.021994566172192295], ['NETWORK APPLICATIONS', 0.021001288087535725], ['COMPUTER SECURITY', 0.020355223389200126], ['ADVANCED PROGRAMMING', 0.013313843104651314]]
886341439: [['SİSTEM PROGRAMLAMA', 0.047354766954729406], ['COMPUTER SECURITY', 0.027685835349376638], ['MOBİL PROGRAMLAMA', 0.02648081391866269], ['IMAGE PROCESSING', 0.021113708217221507], ['WEB BASED TECHNOLOGIES', 0.0209028717292622], ['AĞ GÜVENLİĞİ', 0.019124353669357406], ['NETWORK APPLICATIONS', 0.018278094582241618], ['ADVANCED PROGRAMMING', 0.009082045999871656]]
3792905108: [['SİSTEM PROGRAMLAMA', 0.06627545378497247], ['COMPUTER SECURITY', 0.0385985234433842], ['WEB BASED TECHNOLOGIES', 0.03647123085361926], ['MOBİL PROGRAMLAMA', 0.031747605787181665], ['IMAGE PROCESSING', 0.028988590242764328], ['AĞ GÜVENLİĞİ', 0.025859869548663754], ['NETWORK APPLICATIONS', 0.022064227661364674], ['ADVANCED PROGRAMMING', 0.015616413534675324]]
3077914014: [['SİSTEM PROGRAMLAMA', 0.05129217230309404], ['MOBİL PROGRAMLAMA', 0.03127668444520159], ['WEB BASED TECHNOLOGIES', 0.027588278756643398], ['COMPUTER SECURITY', 0.026519376469355795], ['IMAGE PROCESSING', 0.023824607784835628], ['AĞ GÜVENLİĞİ', 0.023400483076782302], ['NETWORK APPLICATIONS', 0.020810721772668017], ['ADVANCED PROGRAMMING', 0.00893263267049253]]
541774641: [['SİSTEM PROGRAMLAMA', 0.05945923606642893], ['COMPUTER SECURITY', 0.03603787445538061], ['WEB BASED TECHNOLOGIES', 0.035292133894598794], ['MOBİL PROGRAMLAMA', 0.03165156542394598], ['AĞ GÜVENLİĞİ', 0.026335451074428386], ['IMAGE PROCESSING', 0.024900893781791923], ['NETWORK APPLICATIONS', 0.021721335993942666], ['ADVANCED PROGRAMMING', 0.012670637504415197]]
271760479: [['SİSTEM PROGRAMLAMA', 0.05360051122353737], ['MOBİL PROGRAMLAMA', 0.03182476260659228], ['WEB BASED TECHNOLOGIES', 0.0303703473219728], ['IMAGE PROCESSING', 0.027523726780279235], ['COMPUTER SECURITY', 0.025429896206548657], ['AĞ GÜVENLİĞİ', 0.02247435211447188], ['NETWORK APPLICATIONS', 0.02057209661918139], ['ADVANCED PROGRAMMING', 0.013170928345627069]]
1338500931: [['SİSTEM PROGRAMLAMA', 0.06652512150848446], ['COMPUTER SECURITY', 0.03699419283765575], ['WEB BASED TECHNOLOGIES', 0.03610051282054812], ['MOBİL PROGRAMLAMA', 0.0317260269046601], ['IMAGE PROCESSING', 0.02866765491086337], ['AĞ GÜVENLİĞİ', 0.027331947345534135], ['NETWORK APPLICATIONS', 0.022202388832877774], ['ADVANCED PROGRAMMING', 0.015674787911238455]]
1913839788: [['SİSTEM PROGRAMLAMA', 0.04202343805678941], ['COMPUTER SECURITY', 0.039667655209277], ['WEB BASED TECHNOLOGIES', 0.03546238546390734], ['MOBİL PROGRAMLAMA', 0.031233113497042008], ['IMAGE PROCESSING', 0.02776559478767021], ['AĞ GÜVENLİĞİ', 0.027025850733199238], ['NETWORK APPLICATIONS', 0.02183282471042361], ['ADVANCED PROGRAMMING', 0.014691989984822322]]
2094539667: [['SİSTEM PROGRAMLAMA', 0.04578345718998096], ['WEB BASED TECHNOLOGIES', 0.0360049130829121], ['MOBİL PROGRAMLAMA', 0.032143031174396555], ['COMPUTER SECURITY', 0.032090821094684904], ['IMAGE PROCESSING', 0.028500000518574875], ['AĞ GÜVENLİĞİ', 0.02530774607222327], ['NETWORK APPLICATIONS', 0.021492453855831428], ['ADVANCED PROGRAMMING', 0.015091786602242448]]
622481892: [['SİSTEM PROGRAMLAMA', 0.05446197260306585], ['COMPUTER SECURITY', 0.030755845898778517], ['MOBİL PROGRAMLAMA', 0.025846943815201143], ['WEB BASED TECHNOLOGIES', 0.023909452545312012], ['IMAGE PROCESSING', 0.02356531951683136], ['AĞ GÜVENLİĞİ', 0.020320719680050794], ['NETWORK APPLICATIONS', 0.017472235513547374], ['ADVANCED PROGRAMMING', 0.010622205935935694]]
2000155494: [['SİSTEM PROGRAMLAMA', 0.057021534505552224], ['WEB BASED TECHNOLOGIES', 0.037108814379122265], ['MOBİL PROGRAMLAMA', 0.032029870508613854], ['COMPUTER SECURITY', 0.029793363697773453], ['IMAGE PROCESSING', 0.028181078749888105], ['AĞ GÜVENLİĞİ', 0.025696671164430914], ['NETWORK APPLICATIONS', 0.02180724213901105], ['ADVANCED PROGRAMMING', 0.013710990373940052]]
