1524214498: [['152118635 WEB BASED TECHNOLOGIES', 0.0043505752101445526], ['152117111 MOBİL PROGRAMLAMA', 0.003953925956502738], ['152118514 AĞ GÜVENLİĞİ', 0.002384159088057236], ['152118513 SİSTEM PROGRAMLAMA', 0.0018632177522809896], ['152118634 COMPUTER SECURITY', 0.001443798408735321], ['152118035 NETWORK APPLICATIONS UE', 0.0014133915335725873], ['152117115 ADVANCED PROGRAMMING', 0.0005079541378364927]]
834991379: [['152118635 WEB BASED TECHNOLOGIES', 0.006652736020657489], ['152117111 MOBİL PROGRAMLAMA', 0.005748690238485993], ['152118514 AĞ GÜVENLİĞİ', 0.004425902945872593], ['152118634 COMPUTER SECURITY', 0.003115364375555659], ['152118513 SİSTEM PROGRAMLAMA', 0.0027240435956961194], ['152118035 NETWORK APPLICATIONS UE', 0.002540452980621719], ['152117115 ADVANCED PROGRAMMING', 0.001057101686004029]]
1953289294: [['152117111 MOBİL PROGRAMLAMA', 0.0065839952078495375], ['152118514 AĞ GÜVENLİĞİ', 0.00603114936009413], ['152118035 NETWORK APPLICATIONS UE', 0.005715150348468942], ['152118635 WEB BASED TECHNOLOGIES', 0.005610706159325122], ['152118634 COMPUTER SECURITY', 0.005432836153423428], ['152118513 SİSTEM PROGRAMLAMA', 0.0025981331995738053], ['152117115 ADVANCED PROGRAMMING', 0.002062068001496681]]
4157077354: [['152118035 NETWORK APPLICATIONS UE', 0.00594923064118943], ['152118514 AĞ GÜVENLİĞİ', 0.005308668428604451], ['152117111 MOBİL PROGRAMLAMA', 0.004663184631203381], ['152118634 COMPUTER SECURITY', 0.003194721578818507], ['152118635 WEB BASED TECHNOLOGIES', 0.001175917959467393], ['152118513 SİSTEM PROGRAMLAMA', 0.0011313603295876177], ['152117115 ADVANCED PROGRAMMING', 0.0004216630551537059]]
316669719: [['152118514 AĞ GÜVENLİĞİ', 0.004459289659229479], ['152118035 NETWORK APPLICATIONS UE', 0.004304249629143528], ['152117111 MOBİL PROGRAMLAMA', 0.002711882773695381], ['152118513 SİSTEM PROGRAMLAMA', 0.0007033546650998278], ['152117115 ADVANCED PROGRAMMING', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
4246813520: [['152117111 MOBİL PROGRAMLAMA', 0.00667673834334942], ['152118035 NETWORK APPLICATIONS UE', 0.005093041874603741], ['152118514 AĞ GÜVENLİĞİ', 0.004705793668005156], ['152118634 COMPUTER SECURITY', 0.0038782301880176846], ['152118635 WEB BASED TECHNOLOGIES', 0.003058447787983122], ['152117115 ADVANCED PROGRAMMING', 0.0013187137934590044], ['152118513 SİSTEM PROGRAMLAMA', 0.0010666649667655527]]
1235998950: [['152117111 MOBİL PROGRAMLAMA', 0.005750728451515038], ['152118035 NETWORK APPLICATIONS UE', 0.0048090732670193126], ['152118514 AĞ GÜVENLİĞİ', 0.003772383142281266], ['152118635 WEB BASED TECHNOLOGIES', 0.002448214913752209], ['152118634 COMPUTER SECURITY', 0.0024136226536526357], ['152117115 ADVANCED PROGRAMMING', 0.000775341614721335], ['152118513 SİSTEM PROGRAMLAMA', 0.00039341634112640523]]
3724511308: [['152118035 NETWORK APPLICATIONS UE', 0.0037902180295052482], ['152118514 AĞ GÜVENLİĞİ', 0.0032804989377343136], ['152117111 MOBİL PROGRAMLAMA', 0.0022691998237140973], ['152118513 SİSTEM PROGRAMLAMA', 0.0004689031100665518], ['152117115 ADVANCED PROGRAMMING', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
4183542027: [['152118035 NETWORK APPLICATIONS UE', 0.0037902180295052482], ['152118514 AĞ GÜVENLİĞİ', 0.0032804989377343136], ['152117111 MOBİL PROGRAMLAMA', 0.0022691998237140973], ['152118513 SİSTEM PROGRAMLAMA', 0.0004689031100665518], ['152117115 ADVANCED PROGRAMMING', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
3719817359: [['152117111 MOBİL PROGRAMLAMA', 0.006563778807682652], ['152118035 NETWORK APPLICATIONS UE', 0.005405160613562516], ['152118514 AĞ GÜVENLİĞİ', 0.0050210837052935345], ['152118635 WEB BASED TECHNOLOGIES', 0.0028562507327109105], ['152118634 COMPUTER SECURITY', 0.002815893095928075], ['152117115 ADVANCED PROGRAMMING', 0.0009045652171748908], ['152118513 SİSTEM PROGRAMLAMA', 5.212285104657548e-05]]
