3724511308: [['152118035 NETWORK APPLICATIONS UE', 0.0040382445875077515], ['152117111 MOBİL PROGRAMLAMA', 0.002455024308205883], ['152118514 AĞ GÜVENLİĞİ', 0.0018466296143562846], ['152118513 SİSTEM PROGRAMLAMA', 0.0007829327126894378], ['152117115 ADVANCED PROGRAMMING', 0.00037634580537591184], ['152118634 COMPUTER SECURITY', 0.00031224932507204254], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
4183542027: [['152118035 NETWORK APPLICATIONS UE', 0.0040382445875077515], ['152117111 MOBİL PROGRAMLAMA', 0.002455024308205883], ['152118514 AĞ GÜVENLİĞİ', 0.0018466296143562846], ['152118513 SİSTEM PROGRAMLAMA', 0.0007829327126894378], ['152117115 ADVANCED PROGRAMMING', 0.00037634580537591184], ['152118634 COMPUTER SECURITY', 0.00031224932507204254], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
3719817359: [['152117111 MOBİL PROGRAMLAMA', 0.004717366221647773], ['152118035 NETWORK APPLICATIONS UE', 0.0041233902233062], ['152118514 AĞ GÜVENLİĞİ', 0.002428422013058884], ['152118635 WEB BASED TECHNOLOGIES', 0.0020056092555685357], ['152118634 COMPUTER SECURITY', 0.0015483809470441603], ['152118513 SİSTEM PROGRAMLAMA', 0.0007259538872256404], ['152117115 ADVANCED PROGRAMMING', 0.00044962780884637803]]
2292485301: [['152117111 MOBİL PROGRAMLAMA', 0.004663879162261005], ['152118035 NETWORK APPLICATIONS UE', 0.004323146588022728], ['152118514 AĞ GÜVENLİĞİ', 0.00227209713233522], ['152118634 COMPUTER SECURITY', 0.0011326153933613192], ['152118635 WEB BASED TECHNOLOGIES', 0.0009054559011272606], ['152118513 SİSTEM PROGRAMLAMA', 0.000586837927292778], ['152117115 ADVANCED PROGRAMMING', 0.0005583652747545624]]
2311919418: [['152117111 MOBİL PROGRAMLAMA', 0.004883249820986604], ['152118035 NETWORK APPLICATIONS UE', 0.0038329723449762074], ['152118514 AĞ GÜVENLİĞİ', 0.0018567800125720898], ['152118635 WEB BASED TECHNOLOGIES', 0.0017190936476301735], ['152118634 COMPUTER SECURITY', 0.0015959494675642386], ['152118513 SİSTEM PROGRAMLAMA', 0.0007792873000436185], ['152117115 ADVANCED PROGRAMMING', 0.0006504866406966656]]
3627731812: [['152117111 MOBİL PROGRAMLAMA', 0.004806018234993156], ['152118035 NETWORK APPLICATIONS UE', 0.00390433384092174], ['152118513 SİSTEM PROGRAMLAMA', 0.003105785130094682], ['152118634 COMPUTER SECURITY', 0.002963577583428292], ['152118514 AĞ GÜVENLİĞİ', 0.0025600108701058525], ['152118635 WEB BASED TECHNOLOGIES', 0.001898488075173464], ['152117115 ADVANCED PROGRAMMING', 0.0012621236160439478]]
1227222971: [['152117111 MOBİL PROGRAMLAMA', 0.004760163684107223], ['152118035 NETWORK APPLICATIONS UE', 0.003910387437539728], ['152118635 WEB BASED TECHNOLOGIES', 0.0020056092555685357], ['152118514 AĞ GÜVENLİĞİ', 0.001983121483988119], ['152118634 COMPUTER SECURITY', 0.0015483809470441603], ['152117115 ADVANCED PROGRAMMING', 0.00048851220194594], ['152118513 SİSTEM PROGRAMLAMA', 0.00047523907771747717]]
1179501345: [['152117111 MOBİL PROGRAMLAMA', 0.004561032573753272], ['152118035 NETWORK APPLICATIONS UE', 0.004246817529127633], ['152118514 AĞ GÜVENLİĞİ', 0.002356995754139744], ['152118635 WEB BASED TECHNOLOGIES', 0.0017190936476301735], ['152118634 COMPUTER SECURITY', 0.0013271836688949945], ['152118513 SİSTEM PROGRAMLAMA', 0.0006222461890505489], ['152117115 ADVANCED PROGRAMMING', 0.0004187247445250914]]
2592583809: [['152118035 NETWORK APPLICATIONS UE', 0.00393005455326996], ['152117111 MOBİL PROGRAMLAMA', 0.0026046004969924774], ['152118514 AĞ GÜVENLİĞİ', 0.002024095587414115], ['152118634 COMPUTER SECURITY', 0.001169216019068346], ['152118513 SİSTEM PROGRAMLAMA', 0.0010543906130027927], ['152117115 ADVANCED PROGRAMMING', 0.0006153185949880266], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
880213215: [['152117111 MOBİL PROGRAMLAMA', 0.004636489949235879], ['152118035 NETWORK APPLICATIONS UE', 0.004138952283011298], ['152118514 AĞ GÜVENLİĞİ', 0.002398144113351825], ['152118634 COMPUTER SECURITY', 0.0018651884746349562], ['152118635 WEB BASED TECHNOLOGIES', 0.0017190936476301735], ['152118513 SİSTEM PROGRAMLAMA', 0.0009591112508976542], ['152117115 ADVANCED PROGRAMMING', 0.000635751603573106]]
2773579581: [['152117111 MOBİL PROGRAMLAMA', 0.00461735971597335], ['152118035 NETWORK APPLICATIONS UE', 0.004031761961405433], ['152118514 AĞ GÜVENLİĞİ', 0.0022317400694296615], ['152118635 WEB BASED TECHNOLOGIES', 0.001504206941676402], ['152118634 COMPUTER SECURITY', 0.0013964557841187088], ['152118513 SİSTEM PROGRAMLAMA', 0.0006818763875381662], ['152117115 ADVANCED PROGRAMMING', 0.0005691758106095824]]
2662800065: [['152118035 NETWORK APPLICATIONS UE', 0.004875657696612724], ['152117111 MOBİL PROGRAMLAMA', 0.003866066067980508], ['152118514 AĞ GÜVENLİĞİ', 0.0022442448711910185], ['152118513 SİSTEM PROGRAMLAMA', 0.0008045599642317978], ['152117115 ADVANCED PROGRAMMING', 0.0004119223609257108], ['152118634 COMPUTER SECURITY', 0.0003762721181369416], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
680294614: [['152118035 NETWORK APPLICATIONS UE', 0.004556644536645423], ['152117111 MOBİL PROGRAMLAMA', 0.003763654272060103], ['152118514 AĞ GÜVENLİĞİ', 0.0026761778088011676], ['152118634 COMPUTER SECURITY', 0.001438001025041487], ['152118635 WEB BASED TECHNOLOGIES', 0.0011390928451040785], ['152118513 SİSTEM PROGRAMLAMA', 0.0005702868932609726], ['152117115 ADVANCED PROGRAMMING', 0.00034273903723903786]]
1454810307: [['152117111 MOBİL PROGRAMLAMA', 0.004636489949235879], ['152118035 NETWORK APPLICATIONS UE', 0.004138952283011298], ['152118514 AĞ GÜVENLİĞİ', 0.002398144113351825], ['152118634 COMPUTER SECURITY', 0.0018651884746349562], ['152118635 WEB BASED TECHNOLOGIES', 0.0017190936476301735], ['152118513 SİSTEM PROGRAMLAMA', 0.0009591112508976542], ['152117115 ADVANCED PROGRAMMING', 0.000635751603573106]]
3460213741: [['152118035 NETWORK APPLICATIONS UE', 0.0040382445875077515], ['152117111 MOBİL PROGRAMLAMA', 0.002455024308205883], ['152118514 AĞ GÜVENLİĞİ', 0.0018466296143562846], ['152118513 SİSTEM PROGRAMLAMA', 0.0007829327126894378], ['152117115 ADVANCED PROGRAMMING', 0.00037634580537591184], ['152118634 COMPUTER SECURITY', 0.00031224932507204254], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
3101767336: [['152118035 NETWORK APPLICATIONS UE', 0.0037590295923679708], ['152117111 MOBİL PROGRAMLAMA', 0.003097701288811834], ['152118514 AĞ GÜVENLİĞİ', 0.001605750049293276], ['152118634 COMPUTER SECURITY', 0.0012959093879845918], ['152118513 SİSTEM PROGRAMLAMA', 0.0009963309766146144], ['152118635 WEB BASED TECHNOLOGIES', 0.0008136377465029132], ['152117115 ADVANCED PROGRAMMING', 0.0004765754941994583]]
234653585: [['152117111 MOBİL PROGRAMLAMA', 0.004971403484657463], ['152118035 NETWORK APPLICATIONS UE', 0.0037597545681924555], ['152118635 WEB BASED TECHNOLOGIES', 0.0020925418956805036], ['152118514 AĞ GÜVENLİĞİ', 0.001875607750453746], ['152118634 COMPUTER SECURITY', 0.0017299583591071617], ['152118513 SİSTEM PROGRAMLAMA', 0.0010578547249826483], ['152117115 ADVANCED PROGRAMMING', 0.0007877679474361909]]
779454362: [['152118635 WEB BASED TECHNOLOGIES', 0.005098570452829334], ['152117111 MOBİL PROGRAMLAMA', 0.004823885378588938], ['152118035 NETWORK APPLICATIONS UE', 0.0028054662088709877], ['152118513 SİSTEM PROGRAMLAMA', 0.002661477129677491], ['152118634 COMPUTER SECURITY', 0.0023616131344417228], ['152118514 AĞ GÜVENLİĞİ', 0.0019757323299330206], ['152117115 ADVANCED PROGRAMMING', 0.001215181389462076]]
1303790514: [['152117111 MOBİL PROGRAMLAMA', 0.004760163684107223], ['152118035 NETWORK APPLICATIONS UE', 0.003910387437539728], ['152118635 WEB BASED TECHNOLOGIES', 0.0020056092555685357], ['152118514 AĞ GÜVENLİĞİ', 0.001983121483988119], ['152118634 COMPUTER SECURITY', 0.0015483809470441603], ['152117115 ADVANCED PROGRAMMING', 0.00048851220194594], ['152118513 SİSTEM PROGRAMLAMA', 0.00047523907771747717]]
1970908016: [['152118635 WEB BASED TECHNOLOGIES', 0.00507098411262585], ['152117111 MOBİL PROGRAMLAMA', 0.004105712884303699], ['152118035 NETWORK APPLICATIONS UE', 0.0027282615614584553], ['152118634 COMPUTER SECURITY', 0.0024822027177586812], ['152118513 SİSTEM PROGRAMLAMA', 0.0023001924106371527], ['152118514 AĞ GÜVENLİĞİ', 0.002020100193240086], ['152117115 ADVANCED PROGRAMMING', 0.0009016023048297111]]
2549129425: [['152117111 MOBİL PROGRAMLAMA', 0.004883249820986604], ['152118035 NETWORK APPLICATIONS UE', 0.0038329723449762074], ['152118514 AĞ GÜVENLİĞİ', 0.0018567800125720898], ['152118635 WEB BASED TECHNOLOGIES', 0.0017190936476301735], ['152118634 COMPUTER SECURITY', 0.0015959494675642386], ['152118513 SİSTEM PROGRAMLAMA', 0.0007792873000436185], ['152117115 ADVANCED PROGRAMMING', 0.0006504866406966656]]
2864104566: [['152117111 MOBİL PROGRAMLAMA', 0.004636489949235879], ['152118035 NETWORK APPLICATIONS UE', 0.004138952283011298], ['152118514 AĞ GÜVENLİĞİ', 0.002398144113351825], ['152118634 COMPUTER SECURITY', 0.0018651884746349562], ['152118635 WEB BASED TECHNOLOGIES', 0.0017190936476301735], ['152118513 SİSTEM PROGRAMLAMA', 0.0009591112508976542], ['152117115 ADVANCED PROGRAMMING', 0.000635751603573106]]
1029674514: [['152118035 NETWORK APPLICATIONS UE', 0.003623544974776286], ['152117111 MOBİL PROGRAMLAMA', 0.0027017106450175667], ['152118514 AĞ GÜVENLİĞİ', 0.0012163732716148777], ['152118513 SİSTEM PROGRAMLAMA', 0.001108421111431192], ['152117115 ADVANCED PROGRAMMING', 0.0006774224496766413], ['152118634 COMPUTER SECURITY', 0.0005620487851296765], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
2997066913: [['152118035 NETWORK APPLICATIONS UE', 0.0036105700391486336], ['152117111 MOBİL PROGRAMLAMA', 0.002777970615320243], ['152118514 AĞ GÜVENLİĞİ', 0.001801816936047368], ['152118513 SİSTEM PROGRAMLAMA', 0.0016957211386702561], ['152118635 WEB BASED TECHNOLOGIES', 0.0011390928451040785], ['152118634 COMPUTER SECURITY', 0.0010249398220210288], ['152117115 ADVANCED PROGRAMMING', 0.00045343656695914824]]
2134294565: [['152117111 MOBİL PROGRAMLAMA', 0.004883249820986604], ['152118035 NETWORK APPLICATIONS UE', 0.0038329723449762074], ['152118514 AĞ GÜVENLİĞİ', 0.0018567800125720898], ['152118635 WEB BASED TECHNOLOGIES', 0.0017190936476301735], ['152118634 COMPUTER SECURITY', 0.0015959494675642386], ['152118513 SİSTEM PROGRAMLAMA', 0.0007792873000436185], ['152117115 ADVANCED PROGRAMMING', 0.0006504866406966656]]
2125534943: [['152117111 MOBİL PROGRAMLAMA', 0.004883249820986604], ['152118035 NETWORK APPLICATIONS UE', 0.0038329723449762074], ['152118514 AĞ GÜVENLİĞİ', 0.0018567800125720898], ['152118635 WEB BASED TECHNOLOGIES', 0.0017190936476301735], ['152118634 COMPUTER SECURITY', 0.0015959494675642386], ['152118513 SİSTEM PROGRAMLAMA', 0.0007792873000436185], ['152117115 ADVANCED PROGRAMMING', 0.0006504866406966656]]
